entry_id,event_id,event_name,event_subtype_custom,description,date_in_text,source_date,location,location_normalized,brief_context,information_source,information_source_type,confidence,classification_confidence,keywords,text_fragment,category,month,month_name
43,RU_REACTION_INTERNAL_POLICE,Усиление полицейского надзора / Тайная полиция,Присутствие жандармов на народном гулянии,"Автор дневника отмечает появление жандармов во время общественного катания на санях. Это является личным наблюдением усиления полицейского надзора за публичными собраниями, что было характерной чертой внутренней политики Николая I в период европейских революций 1848-1849 гг.",,1849-02-12,в Круговой,"Вологда, Россия","Корпус жандармов, выполнявший функции политической полиции в Российской империи, значительно усилил свою деятельность и надзор за обществом в период 1848-1855 гг. ('мрачное семилетие') для предотвращения распространения 'революционной заразы'.",Личные наблюдения автора,Личные наблюдения и опыт автора,High,High,"['жандармы', 'полицейский надзор', 'Вологда', 'общественное собрание', 'катанье']","Вскоре начал собираться народ, началось катанье, показались жандармы.",RU_REACTION,2,February
48,RU_REACTION_INTERNAL_EDU,Усиление контроля над образованием / университетами,Цензура учебного материала учителем,"Автор передает рассказ о бывшем учителе латыни, который заставил учеников пропустить главу из римской истории о похищении сабинянок, мотивируя это тем, что в ней содержится ""много романтического, соблазнительного"". Этот акт самоцензуры со стороны педагога является характерным примером усиления идеологического контроля и борьбы с ""вольнодумством"" в системе образования России, что было прямой реакцией властей на революционные события 1848-1849 гг. в Европе.",,1849-02-17,Вологодская губернская гимназия,"Вологда, Россия","Период 1848-1855 гг. в России известен как ""Мрачное семилетие"". В ответ на европейские революции правительство Николая I резко ужесточило цензуру и государственный контроль над образованием для искоренения ""вольнодумства"" и западного влияния.",Чихачев,Информация от конкретного лица (именованный источник),High,High,"['образование', 'цензура', 'учитель', 'гимназия', 'соблазнительное']","Только случилась глава о похищении сабинянок, и Александр Григорьевич, чтобы не соблазнялись юноши- дети, и как человек солидный, велел пропустить эту главу, потому, говорит, что тут много романтического, соблазнительного.",RU_REACTION,2,February
51,RU_REACTION_RELIGIOUS_SERVICE,"Официальные молебны (о начале войны, о победе и т.д.)",Чин анафематствования отступникам и изменникам,"Автор описывает свое присутствие на церковной службе в Неделю Торжества Православия, во время которой совершался чин анафематствования. Он отмечает, что проклятию предавались 'все отступники, изменники'. В контексте 1849 года это воспринималось как официальная религиозная реакция на революционные события в Европе, которые осуждались как отступничество и измена традиционным устоям.",сегодняшний день,1849-02-20,собор,"Вологда, Россия","Чин анафематствования в Неделю Торжества Православия в XIX веке включал проклятие еретикам и вольнодумцам. В период европейских революций 1848-1849 гг. эта церемония приобретала острое политическое звучание, направленное против революционных идей.",Личное присутствие на службе,Личные наблюдения и опыт автора,High,High,"['анафема', 'церковная служба', 'отступники', 'изменники', 'собор']","Наконец часу во втором начался молебен, после торжественного пения и обычного моления началось самое проклинание. Я на проклинаний был в первый раз, и как всякая новость обыкновенно занимает человека, тем больше предмет такой важный и священный меня поразил очень. После чтения заповедей и «Славься, веры...» и после поминовения всех православных царей, цариц, патриархов и вологодских архиереев началось проклятие всем отступникам, изменникам, и после каждого возгласа про то дьякон громко и протяжно возглашал: «А-на-фе-ма!»",RU_REACTION,2,February
51,AUTHOR_PERCEPTION_EMO_GENERAL,Общая эмоциональная реакция/сильное впечатление (неуточненная эмоция),Сильное впечатление от чина анафемы,"Автор дневника, впервые присутствуя на чине анафематствования, описывает сильное впечатление, которое на него произвела эта церемония. Он прямо заявляет, что 'предмет такой важный и священный меня поразил очень', что указывает на его глубокую эмоциональную вовлеченность и восприятие серьезности момента.",,1849-02-20,собор,"Вологда, Россия","Для молодого человека, воспитанного в традиционной дворянской и религиозной среде, подобная государственно-церковная церемония, имевшая явный политический подтекст, могла производить сильное эмоциональное и психологическое воздействие.",Личные чувства автора,Личные наблюдения и опыт автора,High,High,"['поражен', 'впечатление', 'анафема', 'эмоциональная реакция', 'священный']","Я на проклинаний был в первый раз, и как всякая новость обыкновенно занимает человека, тем больше предмет такой важный и священный меня поразил очень.",AUTHOR_PERCEPTION,2,February
51,AUTHOR_PERCEPTION_OPINION_REFL,"Размышления о политике, войне, обществе, будущем",Размышление о силе церковного проклятия,"Размышляя о церемонии анафемы, автор приходит к выводу о ее чрезвычайной силе как наказания. Он выражает личное мнение, что быть торжественно проклятым и отлученным от церкви — это величайшее наказание, которое может постигнуть человека на земле. Это отражает его восприятие власти церкви и серьезности 'отступничества'.",,1849-02-20,Не указано,,"В Российской империи XIX века отлучение от церкви имело не только духовные, но и серьезные социальные и гражданские последствия, что делало анафему действенным инструментом идеологического контроля.",Личные размышления автора,Личные наблюдения и опыт автора,High,High,"['размышления', 'наказание', 'церковь', 'проклятие', 'отлучение']","да и, в самом деле, когда так торжественно человек отлучается и проклинается церковью, этого на земле, кажется, не может быть больше наказания.",AUTHOR_PERCEPTION,2,February
54,RU_REACTION_INTERNAL_CENS,Усиление цензуры,Предположение о цензуре в произведении Гоголя,"Читая повесть Н.В. Гоголя 'Портрет', автор дневника сравнивает текущее издание с более ранним (из сборника 'Арабески') и приходит к выводу, что различия в тексте, в частности сокращения, вызваны цензурой. Это предположение отражает восприятие автором усиления цензурного гнета в России, которое стало прямым следствием реакции властей на европейские революции 1848 года.",,1849-02-23,Не указано,,"Период 1848-1855 гг. в России известен как 'Мрачное семилетие'. В это время, из-за страха императора Николая I перед распространением 'революционной заразы' из Европы, были резко усилены цензура и государственный контроль над общественной мыслью и печатью.",Личные размышления автора,Личные наблюдения и опыт автора,High,High,"['цензура', 'Гоголь', 'Портрет', 'предположение', 'внутренняя политика']","Читал сегодня вслух маменьке «Портрет» Гоголя — повесть, которую я читал в «Арабесках» его. Там она кажется больше и интереснее, но в этом издании, что я читал, многого нет, верно, цензура не пропустила, а там гораздо больше объяснений этому таинственному портрету.",RU_REACTION,2,February
59,REV1848_HUN_RUS_INT,Российская интервенция,Ввод войск в Трансильванию,"Автор, читая газету «Петербургские Ведомости», узнает о вводе российских войск (около 7 тысяч) в Трансильванию для помощи австрийцам. Он ошибочно называет противников 'чехами', хотя речь идет о венгерских революционных силах, с которыми австрийцы вели борьбу в Трансильвании.",,1849-03-01,Трансильванию,Трансильвания,"В феврале 1849 года, по просьбе австрийского императора, ограниченный российский контингент под командованием генерала Лидерса вошел в Трансильванию для помощи австрийским войскам в борьбе с венгерской армией под командованием Юзефа Бема. Это был первый этап российской интервенции.",«Петербургские Ведомости»,"Официальные источники (газеты, манифесты)",High,High,"['русские войска', 'Трансильвания', 'австрийцы', 'интервенция', 'Петербургские Ведомости']","Пишут, что русские войска — тысяч семь — выступили в Трансильванию на помощь австрийцам против чехов.",REV1848,3,March
59,REV1848_ITA_ROM_REP,"Римская республика (установление, оборона, падение)",Учреждение республики,"Автор упоминает новость, прочитанную в газете, об учреждении республики в Риме. Это относится к провозглашению Римской республики в феврале 1849 года.",,1849-03-01,В Риме,"Рим, Италия","Римская республика была провозглашена 9 февраля 1849 года после бегства Папы Пия IX из Рима. Во главе республики встал триумвират, в который входил Джузеппе Мадзини.",«Петербургские Ведомости»,"Официальные источники (газеты, манифесты)",High,High,"['Рим', 'республика', 'учреждена', 'Италия', 'Петербургские Ведомости']",В Риме республика учреждена...,REV1848,3,March
59,AUTHOR_PERCEPTION_OPINION_REFL,"Размышления о политике, войне, обществе, будущем",Предчувствие всеобщего конфликта,"Прочитав новости о вводе российских войск в Трансильванию и учреждении республики в Риме, автор задается вопросом о последствиях и выражает личное предчувствие, что эти события приведут к большому всеобщему конфликту, который он описывает словами 'баталия, катавасия'.",,1849-03-01,Не указано,,"К началу 1849 года революционные события в Европе достигли пика, охватив Францию, германские и итальянские государства, а также Венгрию. Ощущение надвигающейся большой войны было широко распространено.",Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['размышления', 'будущее', 'война', 'катавасия', 'личная оценка']","что из всего этого будет? Кажется, передерутся все, начнется баталия, катавасия, кажется.",AUTHOR_PERCEPTION,3,March
61,REV1848_EUR_CONTEXT_GEN,"Общие упоминания Весны народов, беспорядков на Западе",Новости из газет о беспорядках,"Автор дневника, прочитав газеты, отмечает, что в них сообщается о продолжающихся ""беспорядках на Западе"", что является общим обозначением для революционных событий 1848-1849 гг. в Европе.",,1849-03-03,Запад,Европа,"К марту 1849 года, несмотря на подавление ряда восстаний, революционная волна в Европе не утихла. Активные боевые действия и политическая борьба продолжались в Венгрии, итальянских и германских государствах.",газеты,"Официальные источники (газеты, манифесты)",High,High,"['беспорядки', 'Запад', 'газеты', 'новости', 'Европа']","Вечером вот теперь читал газеты, и там все та же история: беспорядки на Западе, видно, дело так не обойдется без большой драки.",REV1848,3,March
61,AUTHOR_PERCEPTION_OPINION_REFL,"Размышления о политике, войне, обществе, будущем",Предсказание большой войны в Европе,"Прочитав в газетах о ""беспорядках на Западе"", автор делает личный вывод-прогноз, что эти события неизбежно приведут к масштабному военному конфликту (""большой драке""). Это его собственное размышление о будущем развитии европейской ситуации.",,1849-03-03,Запад,Европа,"Прогноз автора оказался верным. Весной-летом 1849 года произошла эскалация конфликтов, включая российскую интервенцию в Венгрию и возобновление войны в Италии.",Личное мнение автора,Личные наблюдения и опыт автора,High,High,"['большая драка', 'война', 'прогноз', 'размышления', 'Запад']","Вечером вот теперь читал газеты, и там все та же история: беспорядки на Западе, видно, дело так не обойдется без большой драки.",AUTHOR_PERCEPTION,3,March
61,AUTHOR_PERCEPTION_IMPACT_SELF,Прямое влияние событий на жизнь/планы автора,Размышления о поступлении на военную службу,"Сразу после размышлений о неизбежности ""большой драки"" в Европе, автор задается вопросом о поступлении на военную службу. Это демонстрирует прямое влияние европейских политических событий на его личные жизненные планы и карьерные соображения.",,1849-03-03,Не указано,,"В условиях ожидания войны с революционной Европой, особенно в преддверии Венгерского похода 1849 года, военная карьера для молодого дворянина в России становилась актуальным и патриотически одобряемым выбором.",Личные размышления автора,Личные наблюдения и опыт автора,High,High,"['военная служба', 'карьера', 'личные планы', 'война', 'влияние']",Не идти ли мне в военную службу?,AUTHOR_PERCEPTION,3,March
66,IDEOLOGIES_CAUSES_SOCEC_CLASS,Социальные конфликты / Классовая борьба,Сословная гордость как причина революции во Франции,"Автор дневника, размышляя о социальной иерархии, определяет причину установления республики во Франции. По его мнению, революция и установление равенства ('там все равны') произошли из-за 'глупой' гордости аристократии своим социальным званием.",,1849-03-08,Франция,Франция,"Идеи социального равенства и критика аристократических привилегий были одними из ключевых движущих сил Февральской революции 1848 года во Франции, которая привела к установлению Второй республики.",Личные размышления автора,Личные наблюдения и опыт автора,High,High,"['Франция', 'республика', 'причина', 'сословие', 'неравенство']","Гордиться чем, званием? И это глупо как нельзя больше, из за этого-то во Франции и республика, там все равны...",IDEOLOGIES,3,March
66,AUTHOR_PERCEPTION_OPINION_REFL,"Размышления о политике, войне, обществе, будущем",Противоречивое отношение к сословному статусу,"Связав революцию во Франции с сословной гордостью, автор тут же переходит к размышлениям о собственном положении. Он признает, что в его провинциальной среде именно его дворянское звание обеспечивает ему почет и уважение, которое он ценит. Он противопоставляет это унизительному положению, которое он мог бы занимать в столичном высшем свете, и приходит к выводу, что 'лучше быть первым в деревне, нежели в городе последним'.",,1849-03-08,Вологда,"Вологда, Россия","Для многих провинциальных дворян в России середины XIX века их статус был источником как гордости и привилегий на местном уровне, так и осознания своей незначительности в масштабах империи.",Личные размышления автора,Личные наблюдения и опыт автора,High,High,"['размышления', 'сословие', 'статус', 'гордость', 'провинция']","...а знай, хоть тут я первым и в чести, тут я первый гость, и меня уважают. Гораздо лучше быть первым в деревне, нежели в городе последним.",AUTHOR_PERCEPTION,3,March
70,REV1848_EUR_CONTEXT_NEWS,Распространение новостей/слухов о революциях,Отсутствие значимых новостей в газетах,"Автор дневника, прочитав газеты, отмечает, что в них нет ничего 'особенного'. Это свидетельствует о его привычке следить за новостями, которые в данный период были насыщены информацией о европейских событиях, и отражает характер информационного потока, доходившего до российской провинции.",,1849-03-12,Не указано,,"К марту 1849 года основные революционные вспышки 1848 года были либо подавлены, либо перешли в стадию затяжных войн (как в Венгрии и Италии), что могло приводить к временному затишью в потоке сенсационных новостей в прессе.",Газеты,"Официальные источники (газеты, манифесты)",High,High,"['газеты', 'новости', 'информация', 'затишье', 'провинция']","Читал газеты, особенного нет ничего.",REV1848,3,March
71,IDEOLOGIES_CAUSES_IDEOLOGY_CONS,Консерватизм / Монархизм,Интернализация консервативной идеологии,"Автор размышляет о своих личных недостатках (мечтательность, недостаток усердия) и приходит к выводу, что спасение заключается в следовании ""Закону Божию"", отказе от ""растленности"" и ""мечты"" в пользу ""положительного"" (т.е. реального, конкретного). Эта дихотомия отражает официальную государственную идеологию эпохи Николая I, которая активно противопоставляла консервативные ценности (Православие, самодержавие) ""тлетворным"", ""мечтательным"" и ""развращенным"" революционным идеям Запада. Таким образом, личная моральная рефлексия автора является прямым следствием и восприятием идеологической реакции российского государства на революции 1848-1849 гг.",,1849-03-13,Вологда,"Вологда, Россия","В период ""Мрачного семилетия"" (1848-1855), наступившего после европейских революций, в Российской империи усилилось идеологическое давление, направленное на борьбу с ""западным влиянием"" и пропаганду консервативных ценностей.",Личные размышления автора,Личные наблюдения и опыт автора,Medium,High,"['консерватизм', 'идеология', 'Закон Божий', 'растленность', 'мечты']","А в том числе надо удерживать себя и от растленности, от мечты и держаться более положительного. Вот истина, аксиома всему.",IDEOLOGIES,3,March
